Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/08/2020,06/30/2020,06/16/2020,"L.A. Live Theater, LLC",Los Angeles,Los Angeles County,6,Layoff Temporary
06/08/2020,06/15/2020,06/16/2020,"Live Nation Entertainment, Inc. -- PurchasingDepartment",Los Angeles,Los Angeles County,1,Layoff Temporary
05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. CorporateDivision",Beverly Hills,Los Angeles County,18,Layoff Temporary
05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. CorporateDivision",Los Angeles,Los Angeles County,30,Layoff Temporary
06/05/2020,06/05/2020,06/16/2020,Alatus Aerosystems,Brea,Orange County,13,Layoff Temporary
06/16/2020,06/30/2020,06/16/2020,Test Employer,Sacramento,Sacramento County,147,Layoff Temporary
06/01/2020,06/29/2020,06/16/2020,"John Boyd Enterprises, Inc.",Sacramento,Sacramento County,25,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AEG Presents,San Francisco,San Francisco County,5,Layoff Permanent
06/01/2020,06/05/2020,06/16/2020,Stitch Fix,San Francisco,San Francisco County,1420,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AEG Presents LLC,Saratoga,Santa Clara County,6,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Oakland Airport,Oakland,Alameda County,16,Layoff Temporary
04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at Oakland Airport ServiceCenter,Oakland,Alameda County,5,Layoff Temporary
04/04/2020,03/16/2020,06/16/2020,Highgate Hotels L.P. dba Hotel Figueroa,Los Angeles,Los Angeles County,62,Layoff Temporary
06/03/2020,05/09/2020,06/16/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,53,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Francisco Airport,San Francisco,San Francisco County,47,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Downtown SanFrancisco,San Francisco,San Francisco County,1,Layoff Temporary
04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at San Francisco AirportService Center,Burlingame,San Mateo County,9,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Jose Airport,San Jose,Santa Clara County,22,Layoff Temporary
03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Los Angeles,Los Angeles County,45,Closure Temporary
03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Pasadena,Los Angeles County,14,Closure Temporary
06/16/2020,06/16/2020,06/16/2020,Terrietta,Sacramento,Sacramento County,1,Closure Temporary
03/26/2020,03/26/2020,06/16/2020,CYT HQ,El Cajon,San Diego County,49,Layoff Temporary
04/09/2020,04/09/2020,06/16/2020,"CV Automotive Group, Inc.",Chula Vista,San Diego County,28,Layoff Temporary
04/09/2020,03/27/2020,06/16/2020,"CV Automotive Group, Inc. dba Ford of ChulaVista",Chula Vista,San Diego County,11,Layoff Permanent
03/20/2020,03/13/2020,06/16/2020,Sodexo dba Artisan Restaurant Collection atLinkedIn,San Francisco,San Francisco County,86,Layoff Temporary
06/05/2020,03/17/2020,06/16/2020,Decker Electric,San Francisco,San Francisco County,5,Layoff Temporary
06/05/2020,03/17/2020,06/16/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,1,Layoff Temporary
04/02/2020,03/20/2020,06/16/2020,Central Coast YMCA,Watsonville,Santa Cruz County,41,Closure Temporary
